gameid	 time	 roundNum	 trialType	 extra	 clickedObjName	 clickedObjTrialType 	clickedObjCondition	 clickedObjTargetStatus	 clickedObjSpeakerLocs	 clickedObjListenerLocs	 alt1Name	 alt1TrialType	 alt1Condition	 alt1TargetStatus	 alt1SpeakerLocs	 alt1ListenerLocs	 alt2Name	 alt2TrialType	 alt2Condition	 alt2TargetStatus	 alt2SpeakerLocs	 alt2ListenerLocs	 alt3Name	 alt3TrialType	 alt3Condition	 alt3TargetStatus	 alt3SpeakerLocs	 alt3ListenerLocs	numMessages	numSMessages	numLMessages	speakerMessages	listenerMessages	messageTimeStamps
4966-c	1620235545025	1	clickedObj		pig	filler	none	distractor	3	3	tomato	filler	none	target	2	4	horse	filler	none	distractor	1	2	fish	filler	none	distractor	4	1	1	0	1		bla	1620235540204
4966-c	1620235558970	2	clickedObj		guitar	filler	none	distractor	1	3	elephant	filler	none	target	3	4	banana	filler	none	distractor	2	1	bowl	filler	none	distractor	4	2	1	0	1		hi	1620235556172
4966-c	1620235568109	3	clickedObj		butterfly	filler	none	target	2	4	strawberry	filler	none	distractor	4	1	dog	filler	none	distractor	3	2	chick	filler	none	distractor	1	3	1	0	1		hii	1620235566526
4966-c	1620235575823	4	clickedObj		horse	filler	none	target	4	4	tomato	filler	none	distractor	2	1	fish	filler	none	distractor	3	2	pig	filler	none	distractor	1	3	1	0	1		ki	1620235573917
4966-c	1620235583796	5	clickedObj		butterfly	filler	none	distractor	1	4	dog	filler	none	distractor	3	1	chick	filler	none	distractor	4	2	strawberry	filler	none	target	2	3	1	0	1		ji	1620235582142
4966-c	1620235598253	6	clickedObj		skirt_small_blue	overinformativeness	color_sufficient	distractor	2	3	skirt_big_blue	overinformativeness	color_sufficient	distractor	1	4	skirt_big_green	overinformativeness	color_sufficient	target	4	1	skirt_big_blue	overinformativeness	color_sufficient	distractor	3	2	2	2	0	3___third one		1620235594595___1620235598913
4966-c	1620235628753	7	clickedObj		chair_big_yellow	overinformativeness	size_sufficient	distractor	4	3	chair_small_yellow	overinformativeness	size_sufficient	target	1	4	chair_big_yellow	overinformativeness	size_sufficient	distractor	2	2	chair_big_blue	overinformativeness	size_sufficient	distractor	3	1	4	1	3	hi	gy___hi___num	1620235599462___1620235608811___1620235611450___1620235620565
4966-c	1620235638327	8	clickedObj		woman_young_sad	adjective_ordering	none	distractor	3	4	woman_young_happy	adjective_ordering	none	distractor	4	3	woman_old_sad	adjective_ordering	none	distractor	1	2	woman_old_happy	adjective_ordering	none	target	2	1	1	0	1		hi	1620235637365
4966-c	1620235646952	9	clickedObj		flower_small_pink	overinformativeness	size_sufficient	distractor	4	3	flower_small_yellow	overinformativeness	size_sufficient	distractor	1	2	flower_small_pink	overinformativeness	size_sufficient	distractor	3	4	flower_big_pink	overinformativeness	size_sufficient	target	2	1	1	0	1		m	1620235645895
4966-c	1620235655907	10	clickedObj		bowl	filler	none	distractor	1	2	guitar	filler	none	distractor	4	3	banana	filler	none	target	3	4	elephant	filler	none	distractor	2	1	1	0	1		h	1620235655235
4966-c	1620235663942	11	clickedObj		pitcher	filler	none	distractor	2	2	carrot	filler	none	distractor	4	1	cow	filler	none	target	3	3	door	filler	none	distractor	1	4	1	0	1		h	1620235662184
4966-c	1620235671056	12	clickedObj		toothbrush_big_green	overinformativeness	color_sufficient	target	2	4	toothbrush_big_purple	overinformativeness	color_sufficient	distractor	1	2	toothbrush_big_purple	overinformativeness	color_sufficient	distractor	3	3	toothbrush_small_purple	overinformativeness	color_sufficient	distractor	4	1	1	0	1		k	1620235670251
4966-c	1620235677934	13	clickedObj		man_old_bearded	adjective_ordering	none	distractor	4	4	man_old_cleanshaven	adjective_ordering	none	target	1	3	man_young_cleanshaven	adjective_ordering	none	distractor	2	1	man_young_bearded	adjective_ordering	none	distractor	3	2	1	0	1		j	1620235676672
4966-c	1620235687340	14	clickedObj		car_big_green	overinformativeness	size_sufficient	target	4	2	car_small_blue	overinformativeness	size_sufficient	distractor	1	1	car_small_green	overinformativeness	size_sufficient	distractor	2	4	car_small_green	overinformativeness	size_sufficient	distractor	3	3	2	1	1	j	j	1620235683680___1620235685734
4966-c	1620235695501	15	clickedObj		door	filler	none	distractor	2	3	pitcher	filler	none	distractor	1	2	cow	filler	none	distractor	4	1	carrot	filler	none	target	3	4	1	0	1		h	1620235693483
4966-c	1620235703347	16	clickedObj		tomato	filler	none	distractor	3	4	horse	filler	none	distractor	4	1	pig	filler	none	target	1	3	fish	filler	none	distractor	2	2	1	0	1		j	1620235702873
4966-c	1620235712014	17	clickedObj		lock_small_silver	overinformativeness	color_sufficient	distractor	2	4	lock_small_silver	overinformativeness	color_sufficient	distractor	4	1	lock_small_gold	overinformativeness	color_sufficient	target	1	3	lock_big_silver	overinformativeness	color_sufficient	distractor	3	2	5	4	1	j___j___n___k	j	1620235704597___1620235706704___1620235708883___1620235709038___1620235711916
4966-c	1620235720268	18	clickedObj		apple_small_red	overinformativeness	size_sufficient	distractor	3	3	apple_small_green	overinformativeness	size_sufficient	distractor	2	1	apple_small_green	overinformativeness	size_sufficient	distractor	1	4	apple_big_green	overinformativeness	size_sufficient	target	4	2	1	0	1		gh	1620235718168
4966-c	1620235729996	19	clickedObj		elephant	filler	none	distractor	3	4	banana	filler	none	distractor	4	3	guitar	filler	none	distractor	1	2	bowl	filler	none	target	2	1	1	0	1		df	1620235726202
4966-c	1620235736750	20	clickedObj		picture_bw_square	adjective_ordering	none	distractor	4	2	picture_bw_rectangular	adjective_ordering	none	distractor	1	4	picture_colored_rectangular	adjective_ordering	none	distractor	3	3	picture_colored_square	adjective_ordering	none	target	2	1	1	0	1		sd	1620235734857
4966-c	1620235745179	21	clickedObj		scissors_small_green	overinformativeness	color_sufficient	target	2	3	scissors_small_blue	overinformativeness	color_sufficient	distractor	3	1	scissors_small_blue	overinformativeness	color_sufficient	distractor	1	4	scissors_big_blue	overinformativeness	color_sufficient	distractor	4	2	1	0	1		rrf	1620235742954
4966-c	1620235753688	22	clickedObj		pig	filler	none	distractor	4	3	horse	filler	none	distractor	2	1	tomato	filler	none	distractor	3	4	fish	filler	none	target	1	2	2	1	1	fg	fg	1620235751825___1620235753991
4966-c	1620235760595	23	clickedObj		dress_small_blue	overinformativeness	size_sufficient	distractor	1	2	dress_small_blue	overinformativeness	size_sufficient	distractor	3	1	dress_big_blue	overinformativeness	size_sufficient	target	4	3	dress_small_green	overinformativeness	size_sufficient	distractor	2	4	2	1	1	gh	gh	1620235758859___1620235760285
4966-c	1620235769399	24	clickedObj		knife_small_red	overinformativeness	size_sufficient	distractor	4	3	knife_big_red	overinformativeness	size_sufficient	target	1	1	knife_small_blue	overinformativeness	size_sufficient	distractor	3	2	knife_small_red	overinformativeness	size_sufficient	distractor	2	4	1	0	1		h	1620235767958
4966-c	1620235776813	25	clickedObj		glove_small_orange	overinformativeness	size_sufficient	target	2	2	glove_big_green	overinformativeness	size_sufficient	distractor	3	1	glove_big_orange	overinformativeness	size_sufficient	distractor	4	3	glove_big_orange	overinformativeness	size_sufficient	distractor	1	4	3	2	1	h___g	g	1620235774122___1620235774382___1620235775565
4966-c	1620235782424	26	clickedObj		tshirt_big_yellow	overinformativeness	color_sufficient	distractor	4	3	tshirt_big_orange	overinformativeness	color_sufficient	target	3	1	tshirt_big_yellow	overinformativeness	color_sufficient	distractor	1	4	tshirt_small_yellow	overinformativeness	color_sufficient	distractor	2	2	2	1	1	g	g	1620235781317___1620235782806
4966-c	1620235789024	27	clickedObj		man2_mustached_glassed	adjective_ordering	none	distractor	4	2	man2_bearded_hatted	adjective_ordering	none	distractor	3	1	man2_mustached_hatted	adjective_ordering	none	distractor	2	3	man2_bearded_glassed	adjective_ordering	none	target	1	4	1	0	1		g	1620235786921
