slide_number_in_experiment,trial_type,object,img1,img2,img3,img4,features,rt,response,Browser,OS,screenH,screenW,language,enjoyment,asses,age,gender,education,comments,problems,fairprice,participant_id
3,adjective_ordering,man2,man2_bearded_glassed,man2_mustached_hatted,man2_mustached_glassed,man2_bearded_glassed,"['beard', 'hat', 'glasses', 'mustache']",27124,"[[True, False, True, False, False, ''], [False, True, False, True, False, ''], [False, False, True, True, False, ''], [True, False, True, False, False, '']]",Chrome,Linux,740,360,English,2,Yes,25,Female,3,,,1.50,574607
4,adjective_ordering,box,box_closed_cardboard,box_closed_wood,box_open_wood,box_open_cardboard,"['closed', 'open', 'cardboard', 'wood']",17652,"[[True, False, True, False, False, ''], [True, False, False, True, False, ''], [False, True, False, True, False, ''], [False, True, True, False, False, '']]",Chrome,Linux,740,360,English,2,Yes,25,Female,3,,,1.50,574607
5,adjective_ordering,table,table_metal_high,table_wood_low,table_wood_high,table_metal_low,"['low', 'metal', 'wooden', 'high']",56747,"[[False, True, False, True, False, ''], [True, False, True, False, False, ''], [False, False, True, True, False, ''], [True, True, False, False, False, '']]",Chrome,Linux,740,360,English,2,Yes,25,Female,3,,,1.50,574607
6,adjective_ordering,bottle,bottle_plastic_big,bottle_glass_big,bottle_plastic_small,bottle_glass_small,"['plastic', 'big', 'glass', 'small']",27614,"[[True, True, False, False, False, ''], [False, True, True, False, False, ''], [True, False, False, True, False, ''], [False, False, True, True, False, '']]",Chrome,Linux,740,360,English,2,Yes,25,Female,3,,,1.50,574607
7,adjective_ordering,shorts,shorts_dry_green,shorts_wet_green,shorts_wet_red,shorts_dry_red,"['green', 'dry', 'wet', 'red']",14931,"[[True, True, False, False, False, ''], [True, False, True, False, False, ''], [False, False, True, True, False, ''], [False, True, False, True, False, '']]",Chrome,Linux,740,360,English,2,Yes,25,Female,3,,,1.50,574607
8,adjective_ordering,woman,woman_young_happy,woman_old_happy,woman_old_sad,woman_young_sad,"['old', 'sad', 'happy', 'young']",26011,"[[False, False, True, True, False, ''], [True, False, True, False, False, ''], [True, True, False, False, False, ''], [False, True, False, True, False, '']]",Chrome,Linux,740,360,English,2,Yes,25,Female,3,,,1.50,574607
9,adjective_ordering,hair,hair_curly_blonde,hair_straight_blond,hair_curly_brown,hair_straight_brown,"['blonde', 'straight', 'curly', 'brown']",23206,"[[True, False, True, False, False, ''], [True, True, False, False, False, ''], [False, False, True, True, False, ''], [False, True, False, True, False, '']]",Chrome,Linux,740,360,English,2,Yes,25,Female,3,,,1.50,574607
10,adjective_ordering,nail_polish,nails_black_matte,nails_black_glossy,nails_red_matte,nails_red_glossy,"['glossy', 'red', 'matte', 'black']",49963,"[[False, False, True, True, False, ''], [True, False, False, True, False, ''], [False, True, True, False, False, ''], [True, True, False, False, False, '']]",Chrome,Linux,740,360,English,2,Yes,25,Female,3,,,1.50,574607
11,adjective_ordering,cup,cup_full_plastic,cup_empty_plastic,cup_empty_metal,cup_full_metal,"['plastic', 'metal', 'full', 'empty']",21824,"[[True, False, False, True, False, ''], [True, False, True, False, False, ''], [False, True, False, True, False, ''], [False, True, True, False, False, '']]",Chrome,Linux,740,360,English,2,Yes,25,Female,3,,,1.50,574607
12,adjective_ordering,man,man_old_bald,man_old_bearded,man_young_bearded,man_young_bald,"['young', 'bald', 'old', 'bearded']",19190,"[[False, True, True, False, False, ''], [False, True, True, True, False, ''], [True, True, False, True, False, ''], [True, True, False, False, False, '']]",Chrome,Linux,740,360,English,2,Yes,25,Female,3,,,1.50,574607
13,adjective_ordering,picture,picture_colored_rectangular,picture_bw_square,picture_bw_rectangular,picture_colored_square,"['colored', 'square', 'black&white', 'rectangular']",23189,"[[True, False, False, True, False, ''], [False, True, True, False, False, ''], [False, False, True, True, False, ''], [True, True, False, False, False, '']]",Chrome,Linux,740,360,English,2,Yes,25,Female,3,,,1.50,574607
14,adjective_ordering,woman2,woman2_happy_fat,woman2_sad_skinny,woman2_happy_skinny,woman2_sad_fat,"['fat', 'sad', 'happy', 'skinny']",20143,"[[True, False, True, False, False, ''], [False, True, False, True, False, ''], [False, False, True, True, False, ''], [True, True, False, False, False, '']]",Chrome,Linux,740,360,English,2,Yes,25,Female,3,,,1.50,574607
15,adjective_ordering,earring,earring_small_triangular,earring_big_round,earring_big_triangular,earring_small_round,"['triangular', 'big', 'round', 'small']",20422,"[[True, False, False, True, False, ''], [False, True, True, False, False, ''], [True, True, False, False, False, ''], [False, False, True, True, False, '']]",Chrome,Linux,740,360,English,2,Yes,25,Female,3,,,1.50,574607
16,adjective_ordering,spoon,spoon_wooden_dirty,spoon_metal_clean,spoon_wooden_clean,spoon_metal_dirty,"['metal', 'clean', 'wooden', 'dirty']",41756,"[[False, False, True, True, False, ''], [True, True, False, False, False, ''], [False, True, True, False, False, ''], [True, False, False, True, False, '']]",Chrome,Linux,740,360,English,2,Yes,25,Female,3,,,1.50,574607
17,adjective_ordering,frog,frog_spotted_green,frog_striped_green,frog_spotted_red,frog_striped_red,"['red', 'striped', 'spotted', 'green']",18930,"[[False, False, True, True, False, ''], [False, True, False, True, False, ''], [True, False, True, False, False, ''], [True, True, False, False, False, '']]",Chrome,Linux,740,360,English,2,Yes,25,Female,3,,,1.50,574607
18,adjective_ordering,pencil,pencil_long_black,pencil_long_blue,pencil_short_black,pencil_short_blue,"['short', 'long', 'black', 'blue']",61607,"[[False, True, True, False, False, ''], [False, True, False, True, False, ''], [True, False, True, False, False, ''], [True, False, False, True, False, '']]",Chrome,Linux,740,360,English,2,Yes,25,Female,3,,,1.50,574607
